Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/main/java/io/moderne/devcenter/JavaVersionUpgrade.java,io.moderne.devcenter.JavaVersionUpgrade,getInstanceName,"io.moderne.devcenter.JavaVersionUpgrade{name=getInstanceName,return=java.lang.String,parameters=[]}",1,0,0,5,0,0.0,0,0,0,8.0,1.0,0.0
src/main/java/io/moderne/devcenter/JavaVersionUpgrade.java,io.moderne.devcenter.JavaVersionUpgrade,getVisitor,"io.moderne.devcenter.JavaVersionUpgrade{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",3,12,2,34,0,11.75,7,8,5,485.89,12.95,0.11
src/main/java/io/moderne/devcenter/JavaVersionUpgrade.java,io.moderne.devcenter.JavaVersionUpgrade,getMeasures,"io.moderne.devcenter.JavaVersionUpgrade{name=getMeasures,return=java.util.List<io.moderne.devcenter.DevCenterMeasure>,parameters=[]}",1,0,0,7,0,5.1,0,5,1,79.23,4.4,0.02
src/main/java/io/moderne/devcenter/JavaVersionUpgrade.java,io.moderne.devcenter.JavaVersionUpgrade,getFixRecipeId,"io.moderne.devcenter.JavaVersionUpgrade{name=getFixRecipeId,return=java.lang.String,parameters=[]}",1,0,0,5,0,0.0,0,0,0,2.0,0.5,0.0
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,getInstanceName,"io.moderne.devcenter.KotlinVersionUpgrade{name=getInstanceName,return=java.lang.String,parameters=[]}",1,0,0,5,0,0.0,0,0,0,8.0,1.0,0.0
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,getVisitor,"io.moderne.devcenter.KotlinVersionUpgrade{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",5,14,3,41,0,24.08,12,20,6,925.21,20.8,0.24
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,parseVersion,"io.moderne.devcenter.KotlinVersionUpgrade{name=parseVersion,return=int[],parameters=[java.lang.String]}",2,1,0,8,1,3.32,1,3,1,89.86,4.25,0.02
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,compareMajorMinor,"io.moderne.devcenter.KotlinVersionUpgrade{name=compareMajorMinor,return=int,parameters=[int[],int[]]}",2,1,1,7,2,2.24,0,2,1,73.08,5.33,0.02
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,getMeasures,"io.moderne.devcenter.KotlinVersionUpgrade{name=getMeasures,return=java.util.List<io.moderne.devcenter.DevCenterMeasure>,parameters=[]}",1,0,0,9,0,7.14,1,7,1,130.03,6.0,0.03
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,getFixRecipeId,"io.moderne.devcenter.KotlinVersionUpgrade{name=getFixRecipeId,return=java.lang.String,parameters=[]}",1,0,0,5,0,0.0,0,0,0,2.0,0.5,0.0
